"FOLIO","TIPO SERVICIO","ESTATUS","ZONA","FECHA SERVICIO","OPERADOR","TECNICO","COMPAÑIA","TIENDA","MARCA","MODELO","NUMERO DE SERIE","COMENTARIOS","COMENTARIOS","COMENTARIOS"
"202100","eComerce","Terminada","Local","2020-03-06","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2347921092 | 6 de marzo de 2020 11:54 hs","Bicicleta De Spinning Estructura Reforzada Nordictrack 2018 $ 7990 NTEX03917",""
"202099","Icon","Nueva","Foraneo","2020-03-10","susana","TolucaJuanCarlos","liverpool","toluca- 140","golds gym","ggsy29013","","","",""
"202098","Icon","Nueva","Local","2020-03-10","susana","ISAIT","sears","ecatepec las americas - 115","proform","PFEL55916","","","llamar 1 hora antes de llegar",""
"202097","Tecnoservicio","Nueva","Local","2020-03-10","susana","JAVIER","otro","otro","golds gym","otro","","","mtto $750 
confirmado entre  10 y  5 llamar  1hr antes de ir",""
"202096","Tecnoservicio","Nueva","Local","2020-03-06","Yuridia.Rivas","tecnico_ausente","otro","otro","proform","","","pftl91105.0","venta de 2 llaves de Iman $390 c/u = $780",""
"202095","Icon","Nueva","Foraneo","2020-03-13","jessica","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","NTEL05917","MM530G0304778","","",""
"202094","Icon","Nueva","Local","2020-03-09","jessica","GERONIMO","liverpool","atizapan - 104","proform","PFTL80916","","","ENTRE 10 Y 5 / LLAMAR 1HR ANTES DE IR / CONFIRMADO",""
"202093","Icon","Nueva","Local","2020-03-10","susana","VICTOR","liverpool","coacalco - 180","proform","PFTL49616-MX","","","",""
"202092","Icon","Nueva","Foraneo","2020-03-10","jessica","amado","sears","sears","golds gym","otro","MM621N0000576","","",""
"202091","Icon","Espera de refacciones","Foraneo","2020-03-10","jessica","ESPERA_DE_PARTES","sams","sams","proform","otro","JJ831N0001342","","PFEL02917",""
"202090","Icon","Nueva","Foraneo","2020-03-16","jessica","Cd Juarez-Alejandro Macias","liverpool","cd. juarez - 110","proform","PFTL49616-MX","","","",""
"202089","Icon","Nueva","Foraneo","2020-03-13","jessica","Cd Juarez-Alejandro Macias","liverpool","cd. juarez - 110","nordic track","NTRW5914","","","",""
"202088","Icon","Nueva","Foraneo","2020-03-10","jessica","Hermosillo-Francisco Jimenez","liverpool","hermosillo - 50","weslo","WLTL29816","","","",""
