"321017","2/8/2019 04:04:43.616276+00","Se checa equipo no funciona la parte de los programas del monitor solamente la parte de velocidades y de elevación cotizar monitor 25018.0 gg740c0011087  se cobra $450 01/08/19","135918","85"
"321016","2/8/2019 04:01:34.144222+00","Se da mantenimiento equipo funcionando correctamente 24860.9 kk421r0902118 se cobra $750 01/08/19","135826","85"
"321015","2/8/2019 03:58:18.227745+00","Se realizó el 1-08-19, cambio de refacciones, recibió, reviso y probo joven Ricardo Rojas Rangel firmando de conformidad.","128549","54"
"321014","2/8/2019 03:55:22.510542+00","Se realizó el 1-08-19. Sin pendientes. Serie: KK641N0100148. Versión: 1. Modelo: PFEL04817.1.","135584","54"
"321013","2/8/2019 03:53:26.989229+00","Se realizó el 1-08-19. Sin pendientes. Serie: JK440C0208965. Versión: 2.","135187","54"
"321012","2/8/2019 02:15:34.504865+00","Armado de pftl59117.2 kk640c0214519","135702","84"
"321011","2/8/2019 02:14:47.943054+00","Armado de 24860.10. Mm510c0a01054 se gastan 90 de taxi entra y salir ","135695","84"
"321010","2/8/2019 02:04:03.654504+00","LA ARMO EL CLIENTE","135914","103"
"321009","2/8/2019 01:57:04.309733+00","Ntl 50615.0
Solo mtto se alineó banda y se ajustaron gomas de amortiguación
$750","135908","76"
"321008","2/8/2019 01:55:11.730423+00","Solo mantenimiento esta funcionando correctamente
Pftl89015.1
$400","127519","76"
"321007","2/8/2019 01:53:12.949175+00","Se coloca polea bandas y chumaceras se deja funcionando 
$4400","125334","76"
"321006","2/8/2019 01:50:40.541592+00","01/08/19 MOD. 24039.6 S/MM120G0601022 SE ARMO Y SE DEJO FUNCIONANDO PERO AL INCLINARLA  HACE RUIDO EN EL PERNO DE LA RAMPA","135913","103"
"321005","2/8/2019 01:46:28.806898+00","01/08/19 MOD. 24860.10 S/MM510C0A00812 SE ARMO Y SE DEJO FUNCIONANDO","135864","103"
"321004","2/8/2019 01:45:12.997736+00","01/08/19 MOD. NTEL05917.3 S/MM120G0300215 SE ARMO Y SE DEJO FUNCIONANDO","135865","103"
"321003","2/8/2019 01:43:55.363734+00","01/08/19 MOD. PFEL06916.2 S/MM421W0200043 SE ARMO Y SE DEJO FUNCIONANDO","135925","103"
"321002","2/8/2019 01:41:31.573383+00","01/08/19 MOD. 24035.6 S/MM120G0601125 SE ARMO Y SE DEJO FUNCIONANDO","134581","103"
"321001","2/8/2019 01:26:35.18407+00","la armo el cliente","135594","103"
"321000","2/8/2019 01:14:04.668177+00","SE REVISO EQUIPO SE AJUSTÓ LA BANDA EL CUÁL ESTABA ROSADO DE UN LADO EQUIPO QUEDANDO FUNCIONANDO
SÉRIE # MM510C0A01048 VERSIÓN . 10
ME RECIBIÓ EL DUEÑO","135773","232"
"320999","2/8/2019 01:07:41.474741+00","Equipo quedo armado serie MM510C0A1043.10","135638","86"
"320998","2/8/2019 01:06:09.180657+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE # MM510C0505591 VERSIÓN . 5
ME RECIBIÓ EL HERMANO DE CLIENTE","135448","232"
"320997","2/8/2019 01:05:09.689619+00","Equipo quedo armado serie MM120G0600949.6 - Pague $80 Pesos de Taxi","135892","86"
"320996","2/8/2019 00:59:31.525697+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE # MM710G0601044 VERSIÓN . 6
ME RECIBIÓ LA DUEÑA","134228","232"
"320995","2/8/2019 00:56:22.651435+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE # MM610G0500808 VERSIÓN . 5
ME RECIBIÓ LA ESPOSA DE CLIENTE
PASAJE $ 90 PESOS","134060","232"
"320994","1/8/2019 23:57:33.079534+00","cliente comenta que estan fuera de queretaro, encuanto regresen me van a llamar para agendar una cita","135648","56"
"320993","1/8/2019 23:44:45.218915+00","cita confirmada para el proximo sabado 03/08/2019 a las 10:00 am, a peticion del cliente","135521","56"
"320992","1/8/2019 23:36:35.705302+00","CLIENTE NO CONTESTA, INTENTARE MAS TARDE","135555","56"
"320991","1/8/2019 23:35:51.707143+00","armado exitoso modelo y version 6 25049.5 C970 PRO serie MM610C0500840","135558","56"
"320990","1/8/2019 23:34:51.4475+00","armado exitoso modelo y version 6 25049.5 C970 PRO serie MM610C0500831","135557","56"
"320989","1/8/2019 23:23:02.130549+00","ok recibo 1800","135995","4"
"320988","1/8/2019 23:13:44.001361+00","se coloco banda de piso  bajo garantía, quedo  funcionando 01/08","106393","113"
"320987","1/8/2019 23:09:02.133472+00","modelo PFEL55916.6 serie MM800G0603163 se armo equipo quedo funcionando correctamente, excelente dia amigo saludos","135829","99"
"320986","1/8/2019 23:05:10.33071+00","SERVICIO DE ARMADO REALIZADO CON SERIE NUM MM800C0102676 SLDS..","135791","64"
"320985","1/8/2019 23:02:32.970009+00","esperar ics ","135139","6"
"320984","1/8/2019 23:02:27.693232+00","REVISION PAGADO EL 2/08/19","135827","99"
"320983","1/8/2019 23:00:47.211716+00","SERVICIO REALIZADO POSTURA DE PZAS  SLDS..","129621","64"
"320982","1/8/2019 22:58:31.474481+00","REPARACION PAGADO EL 2/08/19","135296","99"
"320981","1/8/2019 22:58:04.91983+00","REPARACION PAGADO EL 2/08/19","135081","99"
"320980","1/8/2019 22:57:47.854178+00","Armado realizado: 31/07 Mod: PFTL60916.5 Serie: MM510C0500614 obs: No se pudo realizar la prueba de funcionamiento del equipo, ya que cuando se termino de armar el sistema eléctrico de la casa del cliente se daño, dice que solicitara cuando le arreglen el sistema eléctrico, que el técnico regrese hacer la prueba.","135444","25"
"320979","1/8/2019 22:57:34.082588+00","REPARACION PAGADO EL 2/08/19","135015","99"
"320978","1/8/2019 22:57:09.643543+00","CONFIRMADO CON CLIENTE VIERNES 2 AGOSTO","135998","6"
"320977","1/8/2019 22:56:32.442175+00","factura 3672 ik","135733","253"
"320976","1/8/2019 22:55:19.243389+00","REPARACION PAGADO EL 2/08/19","133577","99"
"320975","1/8/2019 22:53:44.63486+00","ARMADO PAGADO EL 2/08/19","135571","99"
"320974","1/8/2019 22:53:13.2056+00","ARMADO PAGADO EL 2/08/19","135235","99"
"320973","1/8/2019 22:52:18.727237+00","ARMADO PAGADO EL 2/08/19","135231","99"
"320972","1/8/2019 22:51:43.740634+00","ARMADO PAGADO EL 2/08/19","135104","99"
"320971","1/8/2019 22:50:36.29579+00","24035.6 mm120g0600912","135546","88"
"320970","1/8/2019 22:49:35.103779+00","25049.5 mm420c0503150","135544","88"
"320969","1/8/2019 22:49:19.998565+00","Armado realizado: 31/07 Mod: NTEL05917.3 Serie: MM120G0300243","135415","25"
"320968","1/8/2019 22:47:53.604953+00","Se coloco la refacción 31/07 que nos enviaron una tarjeta, el equipo sigue con la misma falla, el motor esta quemado se enviaron pruebas al supervisor, se solicita motor de manejo.","133736","25"
